run	K	coef. of clusteredness
results_job_S01_f	1	NA
results_job_S02_f	1	NA
results_job_S03_f	1	NA
results_job_S04_f	1	NA
results_job_S05_f	1	NA
results_job_S06_f	2	0.750650638297872
results_job_S07_f	2	0.837341106382979
results_job_S08_f	2	0.704600680851064
results_job_S09_f	2	0.840428340425532
results_job_S10_f	2	0.839718212765957
results_job_S11_f	3	0.813680776595745
results_job_S12_f	3	0.825380425531915
results_job_S13_f	3	0.820892106382979
results_job_S14_f	3	0.823327010638298
results_job_S15_f	3	0.820716170212766
results_job_S16_f	4	0.768337219858156
results_job_S17_f	4	0.817538127659574
results_job_S18_f	4	0.847817815602837
results_job_S19_f	4	0.848822269503546
results_job_S20_f	4	0.747022496453901
results_job_S21_f	5	0.607083537234043
results_job_S22_f	5	0.71700335106383
results_job_S23_f	5	0.734358537234043
results_job_S24_f	5	0.824745585106383
results_job_S25_f	5	0.790625824468085
results_job_S26_f	6	0.796635310638298
results_job_S27_f	6	0.797865387234042
results_job_S28_f	6	0.756091438297872
results_job_S29_f	6	0.798309582978723
results_job_S30_f	6	0.717481744680851
results_job_S31_f	7	0.785535815602837
results_job_S32_f	7	0.702407953900709
results_job_S33_f	7	0.701370822695036
results_job_S34_f	7	0.751286904255319
results_job_S35_f	7	0.651200581560284
