K	run	Ln P(D)	empty groups	file name
1	1	-2093.2	no	results_job_S001_f
1	2	-2092.2	no	results_job_S002_f
1	3	-2094.5	no	results_job_S003_f
1	4	-2092.1	no	results_job_S004_f
1	5	-2092.5	no	results_job_S005_f
2	1	-1865.7	no	results_job_S006_f
2	2	-1860.5	no	results_job_S007_f
2	3	-1862.6	no	results_job_S008_f
2	4	-1858.5	no	results_job_S009_f
2	5	-1860.5	no	results_job_S010_f
3	1	-1733.4	no	results_job_S011_f
3	2	-2039.4	no	results_job_S012_f
3	3	-2406.2	no	results_job_S013_f
3	4	-1742.6	no	results_job_S014_f
3	5	-1737	no	results_job_S015_f
4	1	-1723.6	no	results_job_S016_f
4	2	-1709.9	no	results_job_S017_f
4	3	-1659.5	no	results_job_S018_f
4	4	-1718.9	no	results_job_S019_f
4	5	-1663.5	no	results_job_S020_f
5	1	-1906	no	results_job_S021_f
5	2	-1726.1	no	results_job_S022_f
5	3	-1771	no	results_job_S023_f
5	4	-1773.1	no	results_job_S024_f
5	5	-1814.6	no	results_job_S025_f
6	1	-2891.5	no	results_job_S026_f
6	2	-1894.6	no	results_job_S027_f
6	3	-3691.7	no	results_job_S028_f
6	4	-1627.4	no	results_job_S029_f
6	5	-1782.6	no	results_job_S030_f
7	1	-30032.6	no	results_job_S031_f
7	2	-6251.9	no	results_job_S032_f
7	3	-10898.8	no	results_job_S033_f
7	4	-2211.8	no	results_job_S034_f
7	5	-2112.8	no	results_job_S035_f
